Daylight temperature [K],Night temperature [K],Heater power [W],Radiator Surface Area [m²],Emmissivity [-],Absorptivity [-]
311.02,302.09,0,9.8,0.115,0.25
311.02,302.09,5,9.8,0.115,0.25
311.02,302.09,10,9.8,0.115,0.25
311.02,302.09,15,9.8,0.115,0.25
311.02,302.09,20,9.8,0.115,0.25
311.02,302.09,25,9.8,0.115,0.25
311.02,302.09,30,9.8,0.115,0.25
311.02,302.09,35,9.8,0.115,0.25
310.62,299.07,0,9.8,0.12,0.25
310.62,299.07,5,9.8,0.12,0.25
310.62,299.07,10,9.8,0.12,0.25
310.62,299.07,15,9.8,0.12,0.25
310.62,299.07,20,9.8,0.12,0.25
310.62,299.07,25,9.8,0.12,0.25
310.62,299.07,30,9.8,0.12,0.25
310.62,299.07,35,9.8,0.12,0.25
310.9,296.21,0,9.6,0.125,0.25
310.9,296.21,5,9.6,0.125,0.25
310.9,296.21,10,9.6,0.125,0.25
310.9,296.21,15,9.6,0.125,0.25
310.9,296.21,20,9.6,0.125,0.25
310.9,296.21,25,9.6,0.125,0.25
310.9,296.21,30,9.6,0.125,0.25
310.9,296.21,35,9.6,0.125,0.25
310.22,296.21,0,9.8,0.125,0.25
310.22,296.21,5,9.8,0.125,0.25
310.22,296.21,10,9.8,0.125,0.25
310.22,296.21,15,9.8,0.125,0.25
310.22,296.21,20,9.8,0.125,0.25
310.22,296.21,25,9.8,0.125,0.25
310.22,296.21,30,9.8,0.125,0.25
310.22,296.21,35,9.8,0.125,0.25
310.5,293.5,0,9.6,0.13,0.25
310.5,293.5,5,9.6,0.13,0.25
310.5,293.5,10,9.6,0.13,0.25
310.5,293.5,15,9.6,0.13,0.25
310.5,293.5,20,9.6,0.13,0.25
310.5,293.5,25,9.6,0.13,0.25
310.5,293.5,30,9.6,0.13,0.25
310.5,293.5,35,9.6,0.13,0.25
309.82,293.5,0,9.8,0.13,0.25
309.82,293.5,5,9.8,0.13,0.25
309.82,293.5,10,9.8,0.13,0.25
309.82,293.5,15,9.8,0.13,0.25
309.82,293.5,20,9.8,0.13,0.25
309.82,293.5,25,9.8,0.13,0.25
309.82,293.5,30,9.8,0.13,0.25
309.82,293.5,35,9.8,0.13,0.25
310.78,290.92,0,9.4,0.135,0.25
310.78,290.92,5,9.4,0.135,0.25
310.78,290.92,10,9.4,0.135,0.25
310.78,290.92,15,9.4,0.135,0.25
310.78,290.92,20,9.4,0.135,0.25
310.78,290.92,25,9.4,0.135,0.25
310.78,290.92,30,9.4,0.135,0.25
310.78,290.92,35,9.4,0.135,0.25
310.1,290.92,0,9.6,0.135,0.25
310.1,290.92,5,9.6,0.135,0.25
310.1,290.92,10,9.6,0.135,0.25
310.1,290.92,15,9.6,0.135,0.25
310.1,290.92,20,9.6,0.135,0.25
310.1,290.92,25,9.6,0.135,0.25
310.1,290.92,30,9.6,0.135,0.25
310.1,290.92,35,9.6,0.135,0.25
309.43,290.92,0,9.8,0.135,0.25
309.43,290.92,5,9.8,0.135,0.25
309.43,290.92,10,9.8,0.135,0.25
309.43,290.92,15,9.8,0.135,0.25
309.43,290.92,20,9.8,0.135,0.25
309.43,290.92,25,9.8,0.135,0.25
309.43,290.92,30,9.8,0.135,0.25
309.43,290.92,35,9.8,0.135,0.25
311.07,288.46,0,9.2,0.14,0.25
311.07,288.46,5,9.2,0.14,0.25
311.07,288.46,10,9.2,0.14,0.25
311.07,288.46,15,9.2,0.14,0.25
311.07,288.46,20,9.2,0.14,0.25
311.07,288.46,25,9.2,0.14,0.25
311.07,288.46,30,9.2,0.14,0.25
311.07,288.46,35,9.2,0.14,0.25
310.38,288.46,0,9.4,0.14,0.25
310.38,288.46,5,9.4,0.14,0.25
310.38,288.46,10,9.4,0.14,0.25
310.38,288.46,15,9.4,0.14,0.25
310.38,288.46,20,9.4,0.14,0.25
310.38,288.46,25,9.4,0.14,0.25
310.38,288.46,30,9.4,0.14,0.25
310.38,288.46,35,9.4,0.14,0.25
309.7,288.46,0,9.6,0.14,0.25
309.7,288.46,5,9.6,0.14,0.25
309.7,288.46,10,9.6,0.14,0.25
309.7,288.46,15,9.6,0.14,0.25
309.7,288.46,20,9.6,0.14,0.25
309.7,288.46,25,9.6,0.14,0.25
309.7,288.46,30,9.6,0.14,0.25
309.7,288.46,35,9.6,0.14,0.25
309.04,288.46,0,9.8,0.14,0.25
309.04,288.46,5,9.8,0.14,0.25
309.04,288.46,10,9.8,0.14,0.25
309.04,288.46,15,9.8,0.14,0.25
309.04,288.46,20,9.8,0.14,0.25
309.04,288.46,25,9.8,0.14,0.25
309.04,288.46,30,9.8,0.14,0.25
309.04,288.46,35,9.8,0.14,0.25
310.66,286.11,0,9.2,0.145,0.25
310.66,286.11,5,9.2,0.145,0.25
310.66,286.11,10,9.2,0.145,0.25
310.66,286.11,15,9.2,0.145,0.25
310.66,286.11,20,9.2,0.145,0.25
310.66,286.11,25,9.2,0.145,0.25
310.66,286.11,30,9.2,0.145,0.25
310.66,286.11,35,9.2,0.145,0.25
309.97,286.11,0,9.4,0.145,0.25
309.97,286.11,5,9.4,0.145,0.25
309.97,286.11,10,9.4,0.145,0.25
309.97,286.11,15,9.4,0.145,0.25
309.97,286.11,20,9.4,0.145,0.25
309.97,286.11,25,9.4,0.145,0.25
309.97,286.11,30,9.4,0.145,0.25
309.97,286.11,35,9.4,0.145,0.25
309.3,286.11,0,9.6,0.145,0.25
309.3,286.11,5,9.6,0.145,0.25
309.3,286.11,10,9.6,0.145,0.25
309.3,286.11,15,9.6,0.145,0.25
309.3,286.11,20,9.6,0.145,0.25
309.3,286.11,25,9.6,0.145,0.25
309.3,286.11,30,9.6,0.145,0.25
309.3,286.11,35,9.6,0.145,0.25
308.65,286.11,0,9.8,0.145,0.25
308.65,286.11,5,9.8,0.145,0.25
308.65,286.11,10,9.8,0.145,0.25
308.65,286.11,15,9.8,0.145,0.25
308.65,286.11,20,9.8,0.145,0.25
308.65,286.11,25,9.8,0.145,0.25
308.65,286.11,30,9.8,0.145,0.25
308.65,286.11,35,9.8,0.145,0.25
310.96,283.86,0,9.0,0.15,0.25
310.96,283.86,5,9.0,0.15,0.25
310.96,283.86,10,9.0,0.15,0.25
310.96,283.86,15,9.0,0.15,0.25
310.96,283.86,20,9.0,0.15,0.25
310.96,283.86,25,9.0,0.15,0.25
310.96,283.86,30,9.0,0.15,0.25
310.96,283.86,35,9.0,0.15,0.25
310.25,283.86,0,9.2,0.15,0.25
310.25,283.86,5,9.2,0.15,0.25
310.25,283.86,10,9.2,0.15,0.25
310.25,283.86,15,9.2,0.15,0.25
310.25,283.86,20,9.2,0.15,0.25
310.25,283.86,25,9.2,0.15,0.25
310.25,283.86,30,9.2,0.15,0.25
310.25,283.86,35,9.2,0.15,0.25
309.57,283.86,0,9.4,0.15,0.25
309.57,283.86,5,9.4,0.15,0.25
309.57,283.86,10,9.4,0.15,0.25
309.57,283.86,15,9.4,0.15,0.25
309.57,283.86,20,9.4,0.15,0.25
309.57,283.86,25,9.4,0.15,0.25
309.57,283.86,30,9.4,0.15,0.25
309.57,283.86,35,9.4,0.15,0.25
308.91,283.86,0,9.6,0.15,0.25
308.91,283.86,5,9.6,0.15,0.25
308.91,283.86,10,9.6,0.15,0.25
308.91,283.86,15,9.6,0.15,0.25
308.91,283.86,20,9.6,0.15,0.25
308.91,283.86,25,9.6,0.15,0.25
308.91,283.86,30,9.6,0.15,0.25
308.91,283.86,35,9.6,0.15,0.25
308.26,283.86,0,9.8,0.15,0.25
308.26,283.86,5,9.8,0.15,0.25
308.26,283.86,10,9.8,0.15,0.25
308.26,283.86,15,9.8,0.15,0.25
308.26,283.86,20,9.8,0.15,0.25
308.26,283.86,25,9.8,0.15,0.25
308.26,283.86,30,9.8,0.15,0.25
308.26,283.86,35,9.8,0.15,0.25
310.54,281.71,0,9.0,0.155,0.25
310.54,281.71,5,9.0,0.155,0.25
310.54,281.71,10,9.0,0.155,0.25
310.54,281.71,15,9.0,0.155,0.25
310.54,281.71,20,9.0,0.155,0.25
310.54,281.71,25,9.0,0.155,0.25
310.54,281.71,30,9.0,0.155,0.25
310.54,281.71,35,9.0,0.155,0.25
309.85,281.71,0,9.2,0.155,0.25
309.85,281.71,5,9.2,0.155,0.25
309.85,281.71,10,9.2,0.155,0.25
309.85,281.71,15,9.2,0.155,0.25
309.85,281.71,20,9.2,0.155,0.25
309.85,281.71,25,9.2,0.155,0.25
309.85,281.71,30,9.2,0.155,0.25
309.85,281.71,35,9.2,0.155,0.25
309.17,281.71,0,9.4,0.155,0.25
309.17,281.71,5,9.4,0.155,0.25
309.17,281.71,10,9.4,0.155,0.25
309.17,281.71,15,9.4,0.155,0.25
309.17,281.71,20,9.4,0.155,0.25
309.17,281.71,25,9.4,0.155,0.25
309.17,281.71,30,9.4,0.155,0.25
309.17,281.71,35,9.4,0.155,0.25
308.52,281.71,0,9.6,0.155,0.25
308.52,281.71,5,9.6,0.155,0.25
308.52,281.71,10,9.6,0.155,0.25
308.52,281.71,15,9.6,0.155,0.25
308.52,281.71,20,9.6,0.155,0.25
308.52,281.71,25,9.6,0.155,0.25
308.52,281.71,30,9.6,0.155,0.25
308.52,281.71,35,9.6,0.155,0.25
307.88,281.71,0,9.8,0.155,0.25
307.88,281.71,5,9.8,0.155,0.25
307.88,281.71,10,9.8,0.155,0.25
307.88,281.71,15,9.8,0.155,0.25
307.88,281.71,20,9.8,0.155,0.25
307.88,281.71,25,9.8,0.155,0.25
307.88,281.71,30,9.8,0.155,0.25
307.88,281.71,35,9.8,0.155,0.25
310.83,279.65,0,8.8,0.16,0.25
310.83,279.65,5,8.8,0.16,0.25
310.83,279.65,10,8.8,0.16,0.25
310.83,279.65,15,8.8,0.16,0.25
310.83,279.65,20,8.8,0.16,0.25
310.83,279.65,25,8.8,0.16,0.25
310.83,279.65,30,8.8,0.16,0.25
310.83,279.65,35,8.8,0.16,0.25
310.13,279.65,0,9.0,0.16,0.25
310.13,279.65,5,9.0,0.16,0.25
310.13,279.65,10,9.0,0.16,0.25
310.13,279.65,15,9.0,0.16,0.25
310.13,279.65,20,9.0,0.16,0.25
310.13,279.65,25,9.0,0.16,0.25
310.13,279.65,30,9.0,0.16,0.25
310.13,279.65,35,9.0,0.16,0.25
309.44,279.65,0,9.2,0.16,0.25
309.44,279.65,5,9.2,0.16,0.25
309.44,279.65,10,9.2,0.16,0.25
309.44,279.65,15,9.2,0.16,0.25
309.44,279.65,20,9.2,0.16,0.25
309.44,279.65,25,9.2,0.16,0.25
309.44,279.65,30,9.2,0.16,0.25
309.44,279.65,35,9.2,0.16,0.25
308.78,279.65,0,9.4,0.16,0.25
308.78,279.65,5,9.4,0.16,0.25
308.78,279.65,10,9.4,0.16,0.25
308.78,279.65,15,9.4,0.16,0.25
308.78,279.65,20,9.4,0.16,0.25
308.78,279.65,25,9.4,0.16,0.25
308.78,279.65,30,9.4,0.16,0.25
308.78,279.65,35,9.4,0.16,0.25
308.13,279.65,0,9.6,0.16,0.25
308.13,279.65,5,9.6,0.16,0.25
308.13,279.65,10,9.6,0.16,0.25
308.13,279.65,15,9.6,0.16,0.25
308.13,279.65,20,9.6,0.16,0.25
308.13,279.65,25,9.6,0.16,0.25
308.13,279.65,30,9.6,0.16,0.25
308.13,279.65,35,9.6,0.16,0.25
307.5,279.65,0,9.8,0.16,0.25
307.5,279.65,5,9.8,0.16,0.25
307.5,279.65,10,9.8,0.16,0.25
307.5,279.65,15,9.8,0.16,0.25
307.5,279.65,20,9.8,0.16,0.25
307.5,279.65,25,9.8,0.16,0.25
307.5,279.65,30,9.8,0.16,0.25
307.5,279.65,35,9.8,0.16,0.25
311.13,277.67,0,8.6,0.165,0.25
311.13,277.67,5,8.6,0.165,0.25
311.13,277.67,10,8.6,0.165,0.25
311.13,277.67,15,8.6,0.165,0.25
311.13,277.67,20,8.6,0.165,0.25
311.13,277.67,25,8.6,0.165,0.25
311.13,277.67,30,8.6,0.165,0.25
311.13,277.67,35,8.6,0.165,0.25
310.42,277.67,0,8.8,0.165,0.25
310.42,277.67,5,8.8,0.165,0.25
310.42,277.67,10,8.8,0.165,0.25
310.42,277.67,15,8.8,0.165,0.25
310.42,277.67,20,8.8,0.165,0.25
310.42,277.67,25,8.8,0.165,0.25
310.42,277.67,30,8.8,0.165,0.25
310.42,277.67,35,8.8,0.165,0.25
309.72,277.67,0,9.0,0.165,0.25
309.72,277.67,5,9.0,0.165,0.25
309.72,277.67,10,9.0,0.165,0.25
309.72,277.67,15,9.0,0.165,0.25
309.72,277.67,20,9.0,0.165,0.25
309.72,277.67,25,9.0,0.165,0.25
309.72,277.67,30,9.0,0.165,0.25
309.72,277.67,35,9.0,0.165,0.25
309.04,277.67,0,9.2,0.165,0.25
309.04,277.67,5,9.2,0.165,0.25
309.04,277.67,10,9.2,0.165,0.25
309.04,277.67,15,9.2,0.165,0.25
309.04,277.67,20,9.2,0.165,0.25
309.04,277.67,25,9.2,0.165,0.25
309.04,277.67,30,9.2,0.165,0.25
309.04,277.67,35,9.2,0.165,0.25
308.38,277.67,0,9.4,0.165,0.25
308.38,277.67,5,9.4,0.165,0.25
308.38,277.67,10,9.4,0.165,0.25
308.38,277.67,15,9.4,0.165,0.25
308.38,277.67,20,9.4,0.165,0.25
308.38,277.67,25,9.4,0.165,0.25
308.38,277.67,30,9.4,0.165,0.25
308.38,277.67,35,9.4,0.165,0.25
307.74,277.67,0,9.6,0.165,0.25
307.74,277.67,5,9.6,0.165,0.25
307.74,277.67,10,9.6,0.165,0.25
307.74,277.67,15,9.6,0.165,0.25
307.74,277.67,20,9.6,0.165,0.25
307.74,277.67,25,9.6,0.165,0.25
307.74,277.67,30,9.6,0.165,0.25
307.74,277.67,35,9.6,0.165,0.25
307.12,277.67,0,9.8,0.165,0.25
307.12,277.67,5,9.8,0.165,0.25
307.12,277.67,10,9.8,0.165,0.25
307.12,277.67,15,9.8,0.165,0.25
307.12,277.67,20,9.8,0.165,0.25
307.12,277.67,25,9.8,0.165,0.25
307.12,277.67,30,9.8,0.165,0.25
307.12,277.67,35,9.8,0.165,0.25
310.71,275.77,0,8.6,0.17,0.25
310.71,275.77,5,8.6,0.17,0.25
310.71,275.77,10,8.6,0.17,0.25
310.71,275.77,15,8.6,0.17,0.25
310.71,275.77,20,8.6,0.17,0.25
310.71,275.77,25,8.6,0.17,0.25
310.71,275.77,30,8.6,0.17,0.25
310.71,275.77,35,8.6,0.17,0.25
310.0,275.77,0,8.8,0.17,0.25
310.0,275.77,5,8.8,0.17,0.25
310.0,275.77,10,8.8,0.17,0.25
310.0,275.77,15,8.8,0.17,0.25
310.0,275.77,20,8.8,0.17,0.25
310.0,275.77,25,8.8,0.17,0.25
310.0,275.77,30,8.8,0.17,0.25
310.0,275.77,35,8.8,0.17,0.25
309.31,275.77,0,9.0,0.17,0.25
309.31,275.77,5,9.0,0.17,0.25
309.31,275.77,10,9.0,0.17,0.25
309.31,275.77,15,9.0,0.17,0.25
309.31,275.77,20,9.0,0.17,0.25
309.31,275.77,25,9.0,0.17,0.25
309.31,275.77,30,9.0,0.17,0.25
309.31,275.77,35,9.0,0.17,0.25
308.64,275.77,0,9.2,0.17,0.25
308.64,275.77,5,9.2,0.17,0.25
308.64,275.77,10,9.2,0.17,0.25
308.64,275.77,15,9.2,0.17,0.25
308.64,275.77,20,9.2,0.17,0.25
308.64,275.77,25,9.2,0.17,0.25
308.64,275.77,30,9.2,0.17,0.25
308.64,275.77,35,9.2,0.17,0.25
307.99,275.77,0,9.4,0.17,0.25
307.99,275.77,5,9.4,0.17,0.25
307.99,275.77,10,9.4,0.17,0.25
307.99,275.77,15,9.4,0.17,0.25
307.99,275.77,20,9.4,0.17,0.25
307.99,275.77,25,9.4,0.17,0.25
307.99,275.77,30,9.4,0.17,0.25
307.99,275.77,35,9.4,0.17,0.25
307.36,275.77,0,9.6,0.17,0.25
307.36,275.77,5,9.6,0.17,0.25
307.36,275.77,10,9.6,0.17,0.25
307.36,275.77,15,9.6,0.17,0.25
307.36,275.77,20,9.6,0.17,0.25
307.36,275.77,25,9.6,0.17,0.25
307.36,275.77,30,9.6,0.17,0.25
307.36,275.77,35,9.6,0.17,0.25
306.75,275.77,0,9.8,0.17,0.25
306.75,275.77,5,9.8,0.17,0.25
306.75,275.77,10,9.8,0.17,0.25
306.75,275.77,15,9.8,0.17,0.25
306.75,275.77,20,9.8,0.17,0.25
306.75,275.77,25,9.8,0.17,0.25
306.75,275.77,30,9.8,0.17,0.25
306.75,275.77,35,9.8,0.17,0.25
311.01,273.94,0,8.4,0.175,0.25
311.01,273.94,5,8.4,0.175,0.25
311.01,273.94,10,8.4,0.175,0.25
311.01,273.94,15,8.4,0.175,0.25
311.01,273.94,20,8.4,0.175,0.25
311.01,273.94,25,8.4,0.175,0.25
311.01,273.94,30,8.4,0.175,0.25
311.01,273.94,35,8.4,0.175,0.25
310.29,273.94,0,8.6,0.175,0.25
310.29,273.94,5,8.6,0.175,0.25
310.29,273.94,10,8.6,0.175,0.25
310.29,273.94,15,8.6,0.175,0.25
310.29,273.94,20,8.6,0.175,0.25
310.29,273.94,25,8.6,0.175,0.25
310.29,273.94,30,8.6,0.175,0.25
310.29,273.94,35,8.6,0.175,0.25
309.59,273.94,0,8.8,0.175,0.25
309.59,273.94,5,8.8,0.175,0.25
309.59,273.94,10,8.8,0.175,0.25
309.59,273.94,15,8.8,0.175,0.25
309.59,273.94,20,8.8,0.175,0.25
309.59,273.94,25,8.8,0.175,0.25
309.59,273.94,30,8.8,0.175,0.25
309.59,273.94,35,8.8,0.175,0.25
308.91,273.94,0,9.0,0.175,0.25
308.91,273.94,5,9.0,0.175,0.25
308.91,273.94,10,9.0,0.175,0.25
308.91,273.94,15,9.0,0.175,0.25
308.91,273.94,20,9.0,0.175,0.25
308.91,273.94,25,9.0,0.175,0.25
308.91,273.94,30,9.0,0.175,0.25
308.91,273.94,35,9.0,0.175,0.25
308.25,273.94,0,9.2,0.175,0.25
308.25,273.94,5,9.2,0.175,0.25
308.25,273.94,10,9.2,0.175,0.25
308.25,273.94,15,9.2,0.175,0.25
308.25,273.94,20,9.2,0.175,0.25
308.25,273.94,25,9.2,0.175,0.25
308.25,273.94,30,9.2,0.175,0.25
308.25,273.94,35,9.2,0.175,0.25
307.6,273.94,0,9.4,0.175,0.25
307.6,273.94,5,9.4,0.175,0.25
307.6,273.94,10,9.4,0.175,0.25
307.6,273.94,15,9.4,0.175,0.25
307.6,273.94,20,9.4,0.175,0.25
307.6,273.94,25,9.4,0.175,0.25
307.6,273.94,30,9.4,0.175,0.25
307.6,273.94,35,9.4,0.175,0.25
306.98,273.94,0,9.6,0.175,0.25
306.98,273.94,5,9.6,0.175,0.25
306.98,273.94,10,9.6,0.175,0.25
306.98,273.94,15,9.6,0.175,0.25
306.98,273.94,20,9.6,0.175,0.25
306.98,273.94,25,9.6,0.175,0.25
306.98,273.94,30,9.6,0.175,0.25
306.98,273.94,35,9.6,0.175,0.25
306.37,273.94,0,9.8,0.175,0.25
306.37,273.94,5,9.8,0.175,0.25
306.37,273.94,10,9.8,0.175,0.25
306.37,273.94,15,9.8,0.175,0.25
306.37,273.94,20,9.8,0.175,0.25
306.37,273.94,25,9.8,0.175,0.25
306.37,273.94,30,9.8,0.175,0.25
306.37,273.94,35,9.8,0.175,0.25
310.59,272.18,0,8.4,0.18,0.25
310.59,272.18,5,8.4,0.18,0.25
310.59,272.18,10,8.4,0.18,0.25
310.59,272.18,15,8.4,0.18,0.25
310.59,272.18,20,8.4,0.18,0.25
310.59,272.18,25,8.4,0.18,0.25
310.59,272.18,30,8.4,0.18,0.25
310.59,272.18,35,8.4,0.18,0.25
309.87,272.18,0,8.6,0.18,0.25
309.87,272.18,5,8.6,0.18,0.25
309.87,272.18,10,8.6,0.18,0.25
309.87,272.18,15,8.6,0.18,0.25
309.87,272.18,20,8.6,0.18,0.25
309.87,272.18,25,8.6,0.18,0.25
309.87,272.18,30,8.6,0.18,0.25
309.87,272.18,35,8.6,0.18,0.25
309.18,272.18,0,8.8,0.18,0.25
309.18,272.18,5,8.8,0.18,0.25
309.18,272.18,10,8.8,0.18,0.25
309.18,272.18,15,8.8,0.18,0.25
309.18,272.18,20,8.8,0.18,0.25
309.18,272.18,25,8.8,0.18,0.25
309.18,272.18,30,8.8,0.18,0.25
309.18,272.18,35,8.8,0.18,0.25
308.51,272.18,0,9.0,0.18,0.25
308.51,272.18,5,9.0,0.18,0.25
308.51,272.18,10,9.0,0.18,0.25
308.51,272.18,15,9.0,0.18,0.25
308.51,272.18,20,9.0,0.18,0.25
308.51,272.18,25,9.0,0.18,0.25
308.51,272.18,30,9.0,0.18,0.25
308.51,272.18,35,9.0,0.18,0.25
307.85,272.18,0,9.2,0.18,0.25
307.85,272.18,5,9.2,0.18,0.25
307.85,272.18,10,9.2,0.18,0.25
307.85,272.18,15,9.2,0.18,0.25
307.85,272.18,20,9.2,0.18,0.25
307.85,272.18,25,9.2,0.18,0.25
307.85,272.18,30,9.2,0.18,0.25
307.85,272.18,35,9.2,0.18,0.25
307.22,272.18,0,9.4,0.18,0.25
307.22,272.18,5,9.4,0.18,0.25
307.22,272.18,10,9.4,0.18,0.25
307.22,272.18,15,9.4,0.18,0.25
307.22,272.18,20,9.4,0.18,0.25
307.22,272.18,25,9.4,0.18,0.25
307.22,272.18,30,9.4,0.18,0.25
307.22,272.18,35,9.4,0.18,0.25
306.6,272.18,0,9.6,0.18,0.25
306.6,272.18,5,9.6,0.18,0.25
306.6,272.18,10,9.6,0.18,0.25
306.6,272.18,15,9.6,0.18,0.25
306.6,272.18,20,9.6,0.18,0.25
306.6,272.18,25,9.6,0.18,0.25
306.6,272.18,30,9.6,0.18,0.25
306.6,272.18,35,9.6,0.18,0.25
306.0,272.18,0,9.8,0.18,0.25
306.0,272.18,5,9.8,0.18,0.25
306.0,272.18,10,9.8,0.18,0.25
306.0,272.18,15,9.8,0.18,0.25
306.0,272.18,20,9.8,0.18,0.25
306.0,272.18,25,9.8,0.18,0.25
306.0,272.18,30,9.8,0.18,0.25
306.0,272.18,35,9.8,0.18,0.25
310.89,270.48,0,8.2,0.185,0.25
310.89,270.48,5,8.2,0.185,0.25
310.89,270.48,10,8.2,0.185,0.25
310.89,270.48,15,8.2,0.185,0.25
310.89,270.48,20,8.2,0.185,0.25
310.89,270.48,25,8.2,0.185,0.25
310.89,270.48,30,8.2,0.185,0.25
310.89,270.48,35,8.2,0.185,0.25
310.16,270.48,0,8.4,0.185,0.25
310.16,270.48,5,8.4,0.185,0.25
310.16,270.48,10,8.4,0.185,0.25
310.16,270.48,15,8.4,0.185,0.25
310.16,270.48,20,8.4,0.185,0.25
310.16,270.48,25,8.4,0.185,0.25
310.16,270.48,30,8.4,0.185,0.25
310.16,270.48,35,8.4,0.185,0.25
309.46,270.48,0,8.6,0.185,0.25
309.46,270.48,5,8.6,0.185,0.25
309.46,270.48,10,8.6,0.185,0.25
309.46,270.48,15,8.6,0.185,0.25
309.46,270.48,20,8.6,0.185,0.25
309.46,270.48,25,8.6,0.185,0.25
309.46,270.48,30,8.6,0.185,0.25
309.46,270.48,35,8.6,0.185,0.25
308.77,270.48,0,8.8,0.185,0.25
308.77,270.48,5,8.8,0.185,0.25
308.77,270.48,10,8.8,0.185,0.25
308.77,270.48,15,8.8,0.185,0.25
308.77,270.48,20,8.8,0.185,0.25
308.77,270.48,25,8.8,0.185,0.25
308.77,270.48,30,8.8,0.185,0.25
308.77,270.48,35,8.8,0.185,0.25
308.11,270.48,0,9.0,0.185,0.25
308.11,270.48,5,9.0,0.185,0.25
308.11,270.48,10,9.0,0.185,0.25
308.11,270.48,15,9.0,0.185,0.25
308.11,270.48,20,9.0,0.185,0.25
308.11,270.48,25,9.0,0.185,0.25
308.11,270.48,30,9.0,0.185,0.25
308.11,270.48,35,9.0,0.185,0.25
307.46,270.48,0,9.2,0.185,0.25
307.46,270.48,5,9.2,0.185,0.25
307.46,270.48,10,9.2,0.185,0.25
307.46,270.48,15,9.2,0.185,0.25
307.46,270.48,20,9.2,0.185,0.25
307.46,270.48,25,9.2,0.185,0.25
307.46,270.48,30,9.2,0.185,0.25
307.46,270.48,35,9.2,0.185,0.25
306.84,270.48,0,9.4,0.185,0.25
306.84,270.48,5,9.4,0.185,0.25
306.84,270.48,10,9.4,0.185,0.25
306.84,270.48,15,9.4,0.185,0.25
306.84,270.48,20,9.4,0.185,0.25
306.84,270.48,25,9.4,0.185,0.25
306.84,270.48,30,9.4,0.185,0.25
306.84,270.48,35,9.4,0.185,0.25
306.23,270.48,0,9.6,0.185,0.25
306.23,270.48,5,9.6,0.185,0.25
306.23,270.48,10,9.6,0.185,0.25
306.23,270.48,15,9.6,0.185,0.25
306.23,270.48,20,9.6,0.185,0.25
306.23,270.48,25,9.6,0.185,0.25
306.23,270.48,30,9.6,0.185,0.25
306.23,270.48,35,9.6,0.185,0.25
305.64,270.48,0,9.8,0.185,0.25
305.64,270.48,5,9.8,0.185,0.25
305.64,270.48,10,9.8,0.185,0.25
305.64,270.48,15,9.8,0.185,0.25
305.64,270.48,20,9.8,0.185,0.25
305.64,270.48,25,9.8,0.185,0.25
305.64,270.48,30,9.8,0.185,0.25
305.64,270.48,35,9.8,0.185,0.25
310.46,268.84,0,8.2,0.19,0.25
310.46,268.84,5,8.2,0.19,0.25
310.46,268.84,10,8.2,0.19,0.25
310.46,268.84,15,8.2,0.19,0.25
310.46,268.84,20,8.2,0.19,0.25
310.46,268.84,25,8.2,0.19,0.25
310.46,268.84,30,8.2,0.19,0.25
310.46,268.84,35,8.2,0.19,0.25
309.74,268.84,0,8.4,0.19,0.25
309.74,268.84,5,8.4,0.19,0.25
309.74,268.84,10,8.4,0.19,0.25
309.74,268.84,15,8.4,0.19,0.25
309.74,268.84,20,8.4,0.19,0.25
309.74,268.84,25,8.4,0.19,0.25
309.74,268.84,30,8.4,0.19,0.25
309.74,268.84,35,8.4,0.19,0.25
309.04,268.84,0,8.6,0.19,0.25
309.04,268.84,5,8.6,0.19,0.25
309.04,268.84,10,8.6,0.19,0.25
309.04,268.84,15,8.6,0.19,0.25
309.04,268.84,20,8.6,0.19,0.25
309.04,268.84,25,8.6,0.19,0.25
309.04,268.84,30,8.6,0.19,0.25
309.04,268.84,35,8.6,0.19,0.25
308.37,268.84,0,8.8,0.19,0.25
308.37,268.84,5,8.8,0.19,0.25
308.37,268.84,10,8.8,0.19,0.25
308.37,268.84,15,8.8,0.19,0.25
308.37,268.84,20,8.8,0.19,0.25
308.37,268.84,25,8.8,0.19,0.25
308.37,268.84,30,8.8,0.19,0.25
308.37,268.84,35,8.8,0.19,0.25
307.71,268.84,0,9.0,0.19,0.25
307.71,268.84,5,9.0,0.19,0.25
307.71,268.84,10,9.0,0.19,0.25
307.71,268.84,15,9.0,0.19,0.25
307.71,268.84,20,9.0,0.19,0.25
307.71,268.84,25,9.0,0.19,0.25
307.71,268.84,30,9.0,0.19,0.25
307.71,268.84,35,9.0,0.19,0.25
307.08,268.84,0,9.2,0.19,0.25
307.08,268.84,5,9.2,0.19,0.25
307.08,268.84,10,9.2,0.19,0.25
307.08,268.84,15,9.2,0.19,0.25
307.08,268.84,20,9.2,0.19,0.25
307.08,268.84,25,9.2,0.19,0.25
307.08,268.84,30,9.2,0.19,0.25
307.08,268.84,35,9.2,0.19,0.25
306.46,268.84,0,9.4,0.19,0.25
306.46,268.84,5,9.4,0.19,0.25
306.46,268.84,10,9.4,0.19,0.25
306.46,268.84,15,9.4,0.19,0.25
306.46,268.84,20,9.4,0.19,0.25
306.46,268.84,25,9.4,0.19,0.25
306.46,268.84,30,9.4,0.19,0.25
306.46,268.84,35,9.4,0.19,0.25
305.86,268.84,0,9.6,0.19,0.25
